subject,env,tree,tree_type,harvest_dur,num_harvests,difficulty_at_exit,score_tree,dur_per_harvest
66672cf74a7ce26512636d19,1,7,good,77434,19,37,176,"[0, 444, 555, 938, 1278, 1290, 1606, 1948, 2567, 2724, 3431, 4610, 3615, 4797, 4351, 4687, 4754, 5190, 2981]"
65de3fafab17ebda9cb762aa,0,1,good,897501,43,85,414,"[0, 1366, 2119, 2648, 3696, 4378, 5470, 6581, 8027, 7996, 9835, 10761, 12649, 12566, 12563, 15570, 16710, 22358, 19028, 22459, 23692, 21108, 20599, 19807, 21037, 23014, 23172, 22002, 25702, 23855, 26238, 28258, 29501, 29169, 29346, 33089, 34196, 32688, 31325, 34061, 35929, 45196, 11365]"
65de3fafab17ebda9cb762aa,1,1,bad,897485,24,116,227,"[0, 2436, 5641, 7726, 12869, 16050, 22181, 21826, 23855, 27064, 34862, 35250, 37494, 39524, 47146, 51812, 55757, 56063, 60624, 60971, 69449, 68982, 75985, 24202]"
5e9b5a4544abb6061b193dea,0,1,good,46018,13,25,118,"[0, 800, 1369, 2257, 1391, 1800, 2201, 2463, 2871, 3265, 3169, 3352, 0]"
5e9b5a4544abb6061b193dea,0,2,bad,17481,6,26,51,"[0, 1017, 1840, 3025, 3712, 0]"
5e9b5a4544abb6061b193dea,0,3,bad,12289,5,21,41,"[0, 1055, 2232, 2944, 0]"
5e9b5a4544abb6061b193dea,0,4,bad,11091,5,21,39,"[0, 1032, 2104, 1891, 0]"
5e9b5a4544abb6061b193dea,0,5,good,11753,6,11,47,"[0, 576, 1120, 1169, 1415, 0]"
5e9b5a4544abb6061b193dea,0,6,good,15960,7,13,56,"[0, 495, 976, 1552, 1328, 1656, 0]"
5e9b5a4544abb6061b193dea,0,7,bad,7416,4,16,29,"[0, 1056, 1928, 0]"
5e9b5a4544abb6061b193dea,0,8,good,10633,6,11,51,"[0, 576, 833, 1040, 1328, 0]"
5e9b5a4544abb6061b193dea,0,9,bad,6585,4,16,30,"[0, 888, 1744, 0]"
5e9b5a4544abb6061b193dea,0,10,bad,10529,5,21,43,"[0, 911, 1792, 2160, 0]"
5e9b5a4544abb6061b193dea,0,11,bad,7640,4,16,30,"[0, 1225, 1672, 0]"
5e9b5a4544abb6061b193dea,0,12,bad,7455,4,16,29,"[0, 1031, 1640, 0]"
5e9b5a4544abb6061b193dea,0,13,bad,6792,4,16,30,"[0, 895, 1599, 0]"
5e9b5a4544abb6061b193dea,0,14,bad,6705,4,16,30,"[0, 951, 1584, 0]"
5e9b5a4544abb6061b193dea,0,15,good,10016,6,11,50,"[0, 359, 655, 1000, 1240, 0]"
5e9b5a4544abb6061b193dea,0,16,good,13493,7,13,60,"[0, 568, 680, 1056, 1351, 1335, 0]"
5e9b5a4544abb6061b193dea,0,17,bad,7040,4,16,32,"[0, 864, 1640, 0]"
5e9b5a4544abb6061b193dea,0,18,good,18353,9,17,79,"[0, 456, 688, 913, 1009, 1289, 1440, 1881, 0]"
5e9b5a4544abb6061b193dea,0,19,bad,9481,5,21,40,"[0, 864, 1696, 1927, 0]"
5e9b5a4544abb6061b193dea,0,20,bad,11073,5,21,43,"[0, 878, 1392, 1840, 0]"
5e9b5a4544abb6061b193dea,0,21,bad,10641,5,21,37,"[0, 880, 1655, 1921, 0]"
5e9b5a4544abb6061b193dea,0,22,bad,12065,5,21,38,"[0, 759, 1632, 2096, 0]"
5e9b5a4544abb6061b193dea,0,23,bad,11690,5,21,38,"[0, 863, 1527, 2097, 0]"
5e9b5a4544abb6061b193dea,0,24,good,17160,8,15,69,"[0, 328, 632, 1040, 1343, 1632, 2080, 0]"
5e9b5a4544abb6061b193dea,0,25,bad,10472,5,21,40,"[0, 951, 1672, 2112, 0]"
5e9b5a4544abb6061b193dea,0,26,good,17631,7,13,64,"[0, 824, 1321, 1864, 2023, 2438, 0]"
5e9b5a4544abb6061b193dea,0,27,bad,15384,5,21,41,"[0, 1768, 3392, 4112, 0]"
5e9b5a4544abb6061b193dea,0,28,bad,9745,4,16,30,"[0, 2128, 2864, 0]"
5e9b5a4544abb6061b193dea,0,29,bad,10136,4,16,30,"[0, 1737, 2583, 0]"
5e9b5a4544abb6061b193dea,0,30,bad,8984,4,16,28,"[0, 1624, 2576, 0]"
5e9b5a4544abb6061b193dea,0,31,bad,7920,4,16,30,"[0, 1544, 2216, 0]"
5e9b5a4544abb6061b193dea,0,32,good,15610,7,13,58,"[0, 760, 1000, 1304, 1641, 2154, 0]"
5e9b5a4544abb6061b193dea,0,33,bad,8130,4,16,32,"[0, 1508, 2210, 0]"
5e9b5a4544abb6061b193dea,0,34,bad,10103,4,16,30,"[0, 1303, 2510, 0]"
5e9b5a4544abb6061b193dea,0,35,good,15712,7,13,58,"[0, 721, 815, 1248, 1560, 2032, 0]"
5e9b5a4544abb6061b193dea,0,36,good,14929,7,13,60,"[0, 392, 872, 1192, 1488, 2265, 0]"
5e9b5a4544abb6061b193dea,0,37,bad,7655,4,16,31,"[0, 1263, 1888, 0]"
5e9b5a4544abb6061b193dea,0,38,good,14033,7,13,61,"[0, 599, 792, 1112, 1449, 1776, 0]"
5e9b5a4544abb6061b193dea,0,39,bad,7160,4,16,32,"[0, 1008, 1776, 0]"
5e9b5a4544abb6061b193dea,0,40,good,13584,7,13,64,"[0, 561, 697, 1023, 1344, 1673, 0]"
5e9b5a4544abb6061b193dea,0,41,bad,7384,4,16,33,"[0, 1073, 1753, 0]"
5e9b5a4544abb6061b193dea,0,42,good,15018,7,13,59,"[0, 376, 696, 1024, 1377, 3048, 0]"
5e9b5a4544abb6061b193dea,0,43,good,13673,7,13,60,"[0, 392, 704, 1040, 1359, 1751, 0]"
5e9b5a4544abb6061b193dea,0,44,bad,7224,4,16,30,"[0, 1072, 2040, 0]"
5e9b5a4544abb6061b193dea,0,45,good,14288,7,13,61,"[0, 441, 832, 1095, 1512, 1880, 0]"
5e9b5a4544abb6061b193dea,0,46,bad,7496,4,16,30,"[0, 1103, 1808, 0]"
5e9b5a4544abb6061b193dea,0,47,good,13616,7,13,60,"[0, 416, 736, 1080, 1455, 1847, 0]"
5e9b5a4544abb6061b193dea,0,48,good,13952,7,13,62,"[0, 593, 703, 1071, 1440, 1800, 0]"
